emaFast,emaSlow,stLen,stMult,stRsiLen,volLen,volMult,minScore,minBars,2024_n,2024_wr,2024_pnl,2024_pf,2024_avgW,2024_avgL,2024_maxDD,2024_score,2025_n,2025_wr,2025_pnl,2025_pf,2025_avgW,2025_avgL,2025_maxDD,2025_score,2026_n,2026_wr,2026_pnl,2026_pf,2026_avgW,2026_avgL,2026_maxDD,2026_score,total_score,total_pnl
13,34,7,2.0,10,14,1.2,5,5,455,56.5,38.57,1.08,2.085,-2.511,-52.92,1.206,415,54.7,-56.3,0.89,1.997,-2.711,-104.49,-0.7344,192,60.9,59.45,1.36,1.925,-2.21,-10.32,11.4828,11.9544,41.720000000000006
13,34,14,3.0,10,20,1.2,5,5,451,56.1,43.52,1.09,2.122,-2.491,-46.49,1.5567,406,51.2,-106.6,0.8,2.067,-2.71,-136.44,-0.94,198,60.1,49.84,1.29,1.874,-2.192,-10.02,9.3234,9.9401,-13.239999999999988
13,34,7,2.0,14,20,1.5,5,5,417,56.6,33.14,1.07,2.066,-2.511,-38.16,1.4217,379,54.6,-29.06,0.94,2.09,-2.685,-113.32,-0.3683,176,60.2,47.05,1.3,1.929,-2.249,-10.15,8.779,9.8324,51.129999999999995
13,34,7,3.0,10,20,1.2,5,5,452,56.2,34.72,1.07,2.082,-2.495,-44.03,1.289,410,50.0,-132.94,0.76,2.065,-2.714,-156.62,-0.9628,201,61.2,53.78,1.31,1.825,-2.189,-11.58,9.0644,9.3906,-44.44
13,34,10,3.0,10,20,1.2,5,5,455,56.0,34.84,1.07,2.088,-2.488,-45.52,1.2505,408,50.5,-121.15,0.78,2.07,-2.711,-151.64,-0.9302,199,61.3,52.68,1.31,1.815,-2.192,-11.58,8.8658,9.1861,-33.63
13,34,7,2.0,10,20,1.5,5,5,421,56.8,35.94,1.08,2.07,-2.52,-36.75,1.6096,383,55.6,-21.6,0.95,2.055,-2.702,-80.12,-0.3949,184,59.2,43.17,1.26,1.91,-2.201,-10.24,7.7196,8.9343,57.51
13,34,7,2.0,14,20,1.2,5,5,447,55.9,31.5,1.06,2.095,-2.499,-41.02,1.2437,397,55.2,-33.95,0.93,2.036,-2.696,-104.11,-0.4657,189,60.8,50.87,1.31,1.884,-2.24,-12.15,8.131,8.909,48.419999999999995
13,34,7,2.0,10,20,1.2,5,5,443,56.9,48.06,1.1,2.088,-2.504,-37.08,2.1789,404,54.2,-56.64,0.89,2.035,-2.715,-91.62,-0.8367,193,59.6,46.73,1.27,1.902,-2.205,-12.18,7.193,8.5352,38.15
13,34,14,3.0,10,20,1.5,5,5,430,56.3,46.14,1.1,2.131,-2.497,-40.24,1.9205,386,53.1,-67.26,0.86,2.071,-2.717,-102.96,-0.8551,187,59.4,44.69,1.27,1.899,-2.185,-11.91,6.9987,8.0641,23.569999999999993
13,34,7,3.0,10,14,1.2,5,5,462,55.4,29.48,1.06,2.121,-2.493,-53.94,0.8816,424,49.8,-151.46,0.74,2.018,-2.711,-179.13,-0.9289,201,61.7,56.58,1.33,1.821,-2.198,-14.19,8.0386,7.991300000000001,-65.4
13,34,10,2.0,10,14,1.2,5,5,457,55.4,17.47,1.03,2.093,-2.51,-67.13,0.4119,422,55.0,-52.12,0.9,1.99,-2.705,-109.01,-0.6598,191,60.7,61.22,1.37,1.952,-2.203,-15.46,8.1939,7.945999999999999,26.57
13,34,7,2.0,14,14,1.2,5,5,452,57.3,50.47,1.1,2.054,-2.495,-46.03,1.8649,408,54.9,-38.68,0.92,2.037,-2.69,-113.27,-0.4834,192,60.4,52.37,1.31,1.931,-2.258,-15.73,6.5539,7.9354,64.16
13,34,10,2.0,14,14,1.2,5,5,453,56.5,35.35,1.07,2.059,-2.496,-50.37,1.1545,410,54.4,-49.74,0.9,2.031,-2.688,-122.13,-0.5619,192,60.4,55.37,1.32,1.95,-2.248,-15.42,7.1599,7.7525,40.98
13,34,7,2.0,10,14,1.5,5,5,430,56.0,25.91,1.05,2.07,-2.502,-51.0,0.8203,394,53.8,-51.79,0.9,2.083,-2.711,-109.67,-0.6442,185,60.5,47.76,1.3,1.865,-2.207,-12.33,7.4569,7.633,21.88
13,34,10,3.0,10,14,1.2,5,5,466,54.9,23.35,1.04,2.131,-2.486,-60.38,0.6156,421,49.9,-144.56,0.75,2.029,-2.705,-179.03,-0.8986,199,61.8,55.48,1.33,1.811,-2.202,-14.16,7.8846,7.6015999999999995,-65.73000000000002
13,34,10,3.0,10,20,1.5,5,5,432,56.2,38.69,1.08,2.1,-2.495,-39.27,1.6245,389,52.4,-79.64,0.84,2.071,-2.714,-119.8,-0.8456,187,60.4,46.36,1.29,1.842,-2.187,-13.14,6.7682,7.5471,5.409999999999997
13,34,7,2.0,10,14,1.2,5,3,501,56.5,42.86,1.08,2.093,-2.52,-61.19,1.1626,443,54.6,-38.08,0.93,2.113,-2.734,-99.16,-0.5472,216,59.7,46.7,1.24,1.867,-2.231,-12.97,6.6245,7.2399000000000004,51.480000000000004
13,34,10,3.0,10,14,1.5,5,5,440,54.5,14.69,1.03,2.134,-2.487,-63.12,0.3646,403,51.1,-107.54,0.8,2.075,-2.716,-145.98,-0.8834,193,61.1,48.64,1.3,1.805,-2.191,-12.11,7.7472,7.228400000000001,-44.21000000000001
13,34,14,3.0,10,14,1.5,5,5,438,54.8,26.44,1.05,2.163,-2.488,-57.5,0.7371,402,52.0,-92.41,0.82,2.069,-2.719,-130.21,-0.882,192,59.9,45.94,1.27,1.865,-2.189,-11.96,7.212,7.0671,-20.03
13,34,7,3.0,10,20,1.5,5,5,429,56.4,35.89,1.08,2.084,-2.504,-37.78,1.5587,391,51.9,-91.44,0.82,2.066,-2.717,-124.8,-0.9066,189,59.8,44.55,1.27,1.861,-2.181,-13.14,6.3881,7.0402,-11.0
13,34,10,2.0,14,14,1.5,5,5,430,56.5,30.86,1.07,2.045,-2.493,-54.42,0.9291,385,54.5,-29.07,0.94,2.107,-2.695,-115.85,-0.3607,182,59.9,42.92,1.26,1.904,-2.254,-12.52,6.3971,6.9655000000000005,44.71
13,34,10,2.0,14,20,1.5,5,5,418,55.7,18.88,1.04,2.072,-2.507,-45.83,0.6535,379,55.4,-17.22,0.96,2.075,-2.68,-111.47,-0.2289,177,59.9,47.12,1.3,1.947,-2.243,-14.16,6.4404,6.865,48.78
13,34,7,3.0,10,14,1.5,5,5,437,54.9,12.61,1.03,2.102,-2.497,-60.01,0.3284,406,50.7,-117.74,0.78,2.067,-2.717,-149.38,-0.9245,195,60.5,46.83,1.28,1.823,-2.185,-12.11,7.3276,6.7315000000000005,-58.3
13,34,14,2.0,14,14,1.2,5,5,451,56.5,32.59,1.07,2.046,-2.496,-53.55,0.9974,411,54.7,-47.9,0.9,2.011,-2.69,-121.1,-0.5489,194,59.8,49.72,1.28,1.933,-2.237,-15.42,6.2165,6.665,34.410000000000004
13,34,14,3.0,10,14,1.2,5,5,463,54.9,26.64,1.05,2.153,-2.489,-62.62,0.6817,420,50.7,-128.72,0.77,2.024,-2.704,-162.54,-0.9135,198,60.6,52.68,1.31,1.87,-2.201,-15.05,6.8912,6.659400000000001,-49.4
13,34,14,3.0,14,20,1.2,5,5,454,55.5,27.97,1.06,2.11,-2.493,-38.01,1.1769,401,53.1,-70.61,0.86,2.052,-2.701,-109.25,-0.8444,196,60.2,50.83,1.3,1.879,-2.191,-16.16,6.1553,6.4878,8.189999999999998
9,34,7,3.0,10,20,1.2,5,5,455,56.3,31.34,1.06,2.054,-2.484,-49.07,1.04,413,49.9,-136.11,0.76,2.066,-2.714,-159.57,-0.9626,205,59.5,40.33,1.22,1.817,-2.184,-11.58,6.2542,6.3316,-64.44000000000001
